	Sample ID (registered at the BioSamples ...)	Sample ID (registered at the European Nu...)	Basis	Campaign	Station	Device	Event	Date/Time	Latitude	Longitude	Env feature	Depth, nominal	Depth top [m]	Depth bot [m]	Fraction lower [µm]	Fraction upper [µm]	Sample material	Sample method	Sample label	MP biome	OS region	BG province	Sea ice conc [%]	Sea ice free period start DOY [day]	Sea Ice free period [days]	Sea ice free period end DOY [day]	Season (at the sampling location and ...)	Season (at the sampling location and ...).1	Moon phase nominal	Moon phase proportion	Time of day	SSD [min]	PAR day [mol quanta/m**2/day] (at the sampling location and ...)	PAR day [mol quanta/m**2/day] (calculated from AMODIS produc...)	PAR day [mol quanta/m**2/day] (Calculated from GlobColour pr...)	PAR day [mol quanta/m**2/day] (at the sampling location for ...)	SST grad h [°C/100 km] (calculated from AMODIS products)	Fe tot [µmol/l]	Fe std dev [±]	[NH4]+ [µmol/l]	[NH4]+ std dev [±]	[NO2]- [µmol/l]	[NO2]- std dev [±]	[NO3]- [µmol/l]	NO3 std dev [±]	SSfCDOM [ppb (QSE)]	SSChla [mg/m**3]	Chl a conc [mg/m**2]	Ssphi sat [%]	NPP C [mg/m**2/day] (Calculated using the Arctic-a...)	NPP C [mg/m**2/day] (calculated from VGPM products)	TSS [mg/l]	POC [µg/kg]	PIC [mol/m**3]	Bathy depth [m]	Latitude (of the closest geographic coo...)	Longitude (of the closest geographic coo...)	Distance [km]	SST grad h [°C/100 km] (at the sampling location and ...)	SSM index [1/s**2]	u [cm/s]	v [cm/s]	OW	MLE [1/day]	RT [days]	Latitude (of the continental shelf with...)	Longitude (of the continental shelf with...)	Age [days]	Latitude (of the geographic coordinate ...)	Longitude (of the geographic coordinate ...)	study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	base_count	experiment_title	study_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_galaxy	sample_alias	sample_title	_merge
490																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288843	ERR315673	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	243874.0	132275549.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_1.GAC.AHX_AAGOTS_GMECL9K01	run_1.GAC.AHX_AAGOTS_GMECL9K01	57428302	84fdee63e71c1a892b9b240d81ceebe3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315673/ERR315673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GMECL9K01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GMECL9K01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315673	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315673		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
492																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288838	ERR315675	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	633582.0	351657300.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_2.GAC.AHX_AAGOTS_GO4O91V02	run_2.GAC.AHX_AAGOTS_GO4O91V02	150062864	63693cbb2adb03bc78ad37c695d6f05b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315675/ERR315675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GO4O91V02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GO4O91V02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315675	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315675		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
497																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288822	ERR315680	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	375847.0	197834143.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_2.GAC.AHX_AAGOTS_GHY2H1O02	run_2.GAC.AHX_AAGOTS_GHY2H1O02	88614926	483fa8d8de393aabeba7630fb36dd22a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315680/ERR315680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315680	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315680		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
498																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288837	ERR315681	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	377247.0	197742997.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_1.GAC.AHX_AAGOTS_GHY2H1O01	run_1.GAC.AHX_AAGOTS_GHY2H1O01	92990594	3102431c5c9f2adb78f3344f70cba6ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315681/ERR315681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GHY2H1O01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315681	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315681		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
499																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288827	ERR315682	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	34715.0	19394957.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_8.GAC.AHX_AAGOTS_GIQV5A308	run_8.GAC.AHX_AAGOTS_GIQV5A308	7176953	942feb402c4f5d1d4d898d3070dc0e80	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315682/ERR315682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A308.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A308.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315682	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315682		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
501																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288833	ERR315684	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	35359.0	19555790.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_7.GAC.AHX_AAGOTS_GIQV5A307	run_7.GAC.AHX_AAGOTS_GIQV5A307	7299886	7a992193da563cafe36bffcd34599ca9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315684/ERR315684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A307.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A307.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315684	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315684		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
502																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288839	ERR315685	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	658015.0	362660419.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_1.GAC.AHX_AAGOTS_GOTMFZR01	run_1.GAC.AHX_AAGOTS_GOTMFZR01	159070374	b29707b4a7ddfb3bd614cb06fd86c42a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315685/ERR315685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GOTMFZR01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GOTMFZR01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315685	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315685		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
510																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288821	ERR315693	408172.0	marine metagenome	454 GS FLX Titanium	SINGLE	236860.0	126278326.0	454 GS FLX Titanium sequencing; Marine metagenome Titanium Simple	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_3.GAC.AHX_AAGOTS_GFU6U0Q03	run_3.GAC.AHX_AAGOTS_GFU6U0Q03	64362413	3c12c555042f4ecc11f1ce710b23a465	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315693/ERR315693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GFU6U0Q03.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GFU6U0Q03.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315693	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315693		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
542																																																																							PRJEB4352	SAMEA2189665	ERS327852	ERX288967	ERR315827	408172.0	marine metagenome	Illumina HiSeq 2000	PAIRED	79924639.0	16624324912.0	Illumina HiSeq 2000 paired end sequencing; Marine metagenome HiSeq 2000 Simple ou Paire	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_AHX_AAGOSU_6_814P9ABXX	run_AHX_AAGOSU_6_814P9ABXX	7252142971;6956936840	8b72d9c089db0e8f4b7bc333964aa7ee;3060343ff77c48a2345ba7766ea07f8a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315827/ERR315827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315827/ERR315827_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242028/fastq/AHX_AAGOSU_6_1_814P9ABXX.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242028/fastq/AHX_AAGOSU_6_2_814P9ABXX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242028/fastq/AHX_AAGOSU_6_1_814P9ABXX.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA242/ERA242028/fastq/AHX_AAGOSU_6_2_814P9ABXX.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315827	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315827		sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
491																																																																							PRJEB4352	SAMEA2189672	ERS327859	ERX288834	ERR315674	408172.0	marine metagenome	454 GS FLX Titanium	PAIRED	184744.0	75162612.0	454 GS FLX Titanium paired end sequencing; Marine metagenome Titanium Mate-pair	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist	exp_2.TCA.AHX_AAAOTA_GFPLOTC02	run_2.TCA.AHX_AAAOTA_GFPLOTC02	11000518;14658306;17875732	aaf912fb3e1140ad922d173b1bd74b72;80557f06eb3c7d2e55bec14dc7e4333d;37cb2bc5f76ae2a23785057d9fc910b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315674/ERR315674.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315674/ERR315674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315674/ERR315674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAAOTA_GFPLOTC02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAAOTA_GFPLOTC02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315674	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315674		sample_AHX_408172_7DCM1GGMM11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists	right_only
