	study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	fastq_md5	fastq_ftp	submitted_bytes	sra_ftp	cram_index_ftp	cram_index_galaxy	sample_title
831	PRJEB6609	SAMEA2591117	ERS478026	ERX509599	ERR550511	408172	marine metagenome	454 GS FLX Titanium	SINGLE	16911	a031063c2107572cccd958c612618147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550511/ERR550511.fastq.gz	48448782	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550511			TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_A100001639
832	PRJEB6609	SAMEA2624978	ERS478037	ERX509592	ERR550512	408172	marine metagenome	454 GS FLX Titanium	SINGLE	22731	18e1c45c745858035718729a3fdd0f77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550512/ERR550512.fastq.gz	63679120	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550512			TARA_20091215T1244Z_030_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100001649
833	PRJEB6609	SAMEA2624976	ERS478011	ERX509600	ERR550513	408172	marine metagenome	454 GS FLX Titanium	SINGLE	24010	cedf75e7ab73bb37bdab95db0bef6dd8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550513/ERR550513.fastq.gz	70516370	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550513			TARA_20091118T1352Z_023_EVENT_NET_N1+N2_D_(48-52m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000556
835	PRJEB6609	SAMEA2624983	ERS478034	ERX509608	ERR550515	408172	marine metagenome	454 GS FLX Titanium	SINGLE	24939	b38b3639d832cd7ea1487b44f284ead6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550515/ERR550515.fastq.gz	76096340	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550515			TARA_20091215T1113Z_030_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100001647
836	PRJEB6609	SAMEA2624979	ERS478009	ERX509587	ERR550516	408172	marine metagenome	454 GS FLX Titanium	SINGLE	44994	158b98df8b12440fa8025fc98f93cbd3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550516/ERR550516.fastq.gz	124510200	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550516			TARA_20091118T1256Z_023_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000550
838	PRJEB6609	SAMEA2624982	ERS477997	ERX509589	ERR550518	408172	marine metagenome	454 GS FLX Titanium	SINGLE	32386	99962e6e16e5488d8f2cfff7df954112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550518/ERR550518.fastq.gz	95580118	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550518			TARA_20091118T1017Z_023_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000549
840	PRJEB6609	SAMEA2624977	ERS478039	ERX509598	ERR550520	408172	marine metagenome	454 GS FLX Titanium	SINGLE	17818	40c2df27e3af15a1a75945e213f004bd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550520/ERR550520.fastq.gz	52321795	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550520			TARA_20091215T1305Z_030_EVENT_NET_N1+N2_D_(68-72m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100001645
842	PRJEB6609	SAMEA2624979	ERS478009	ERX509597	ERR550522	408172	marine metagenome	454 GS FLX Titanium	SINGLE	13941	6c87cc8ec37c4738ad69a12250204942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550522/ERR550522.fastq.gz	40608046	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550522			TARA_20091118T1256Z_023_EVENT_NET_N1+N2_S_(3-7m)_PROT_NUC-RNA(1L)_N20-180_TARA_A100000550
843	PRJEB6609	SAMEA2624981	ERS478013	ERX509593	ERR550523	408172	marine metagenome	454 GS FLX Titanium	SINGLE	19254	9025c7ffd67a8a78911a3c572ccc5586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550523/ERR550523.fastq.gz	58384818	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550523			TARA_20091118T1632Z_023_EVENT_NET_N1+N2_D_(48-52m)_PROT_NUC-RNA(1L)_N180-2000_TARA_A100000557
844	PRJEB6609	SAMEA2591095	ERS477990	ERX509604	ERR550524	408172	marine metagenome	454 GS FLX Titanium	SINGLE	17179	dbf76c6dbbd673596159117cc6cb3703	ftp.sra.ebi.ac.uk/vol1/fastq/ERR550/ERR550524/ERR550524.fastq.gz	49930230	ftp.sra.ebi.ac.uk/vol1/err/ERR550/ERR550524			TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_A100000552
